Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"Other, non-Hispanic",Race/Ethnicity,14,,,,1017,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS13,Topic04,01,RACE4,CAT4,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"Other, non-Hispanic",Race/Ethnicity,33,,,,1022,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS13,Topic04,01,RACE4,CAT4,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,"Multiracial, non-Hispanic",Race/Ethnicity,8,,,,1018,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS13,Topic04,01,RACE5,CAT4,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,"Multiracial, non-Hispanic",Race/Ethnicity,22,,,,1023,%,Crude Prevalence,*,Prevalence estimate not available if the unweighted sample size for the denominator was < 50 or the Relative Standard Error (RSE) is > 0.3 or if the state did not collect data for that calendar year.,BRFSS,CLASS13,Topic04,01,RACE5,CAT4,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,Male,Gender,201,23.3,19.7,26.9,1006,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,SEX1,CAT2,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Male,Gender,768,76.7,73.1,80.4,1008,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,SEX1,CAT2,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),Yes,Female,Gender,507,23.8,21.5,26.2,1007,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,SEX2,CAT2,_ALTETH2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,All Teeth Removed,Adults aged 65+ who have had all their natural teeth extracted (variable calculated from one or more BRFSS questions),No,Female,Gender,1559,76.2,73.9,78.5,1009,%,Crude Prevalence,,,BRFSS,CLASS13,Topic04,01,SEX2,CAT2,_ALTETH2,RESP054,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),Yes,18-24,Age Group,253,65.6,59.8,71.4,1048,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE01,CAT3,_DENVST2,RESP046,"(32.840571122, -86.631860762)"
2012,AL,Alabama,Oral Health,Dental Visit,Visited the dentist or dental clinic within the past year for any reason (variable calculated from one or more BRFSS questions),No,18-24,Age Group,130,34.4,28.6,40.2,1054,%,Crude Prevalence,,,BRFSS,CLASS13,Topic16,01,AGE01,CAT3,_DENVST2,RESP054,"(32.840571122, -86.631860762)"
